day,customer_id,customer_type,total_sales
1/2/2018,3410756614,Returning,142.12
1/2/2018,265205022745,First-time,0.00
1/2/2018,265460121625,First-time,33.25
1/2/2018,185469206553,Returning,47.00
1/2/2018,6575743820,Returning,28.41
1/2/2018,4945432460,Returning,99.00
1/2/2018,263903576089,First-time,43.61
1/2/2018,256569901081,Returning,-0.20
1/2/2018,162855157785,Returning,40.80
1/2/2018,5767769804,Returning,37.20
1/2/2018,264649015321,First-time,30.63
1/2/2018,180548993049,Returning,52.80
1/2/2018,3893025222,Returning,415.08
1/2/2018,265489874969,First-time,139.50
1/2/2018,5184609868,Returning,84.20
1/2/2018,128000294937,Returning,53.30
1/2/2018,6294647500,Returning,67.80
1/2/2018,27894513689,Returning,56.82
1/2/2018,202292854809,Returning,56.81
1/2/2018,3957247494,Returning,88.16
1/2/2018,176988028953,Returning,94.80
1/2/2018,5386790284,Returning,227.50
1/2/2018,6645801996,Returning,33.92
1/2/2018,5927789004,Returning,26.66
1/2/2018,160321863705,Returning,243.75
1/2/2018,6505468300,Returning,59.00
1/2/2018,209815142425,Returning,109.44
1/2/2018,6585535436,Returning,221.90
1/2/2018,264845000729,First-time,88.16
1/2/2018,4361582470,Returning,64.00
1/2/2018,265479520281,First-time,27.36
1/2/2018,148598423577,Returning,25.25
1/2/2018,265415360537,First-time,56.72
1/2/2018,251260174361,Returning,78.20
1/2/2018,6565958988,Returning,60.00
1/2/2018,4725250252,Returning,30.00
1/2/2018,107215454233,Returning,42.80
1/2/2018,257279295513,Returning,23.14
1/2/2018,6161965260,Returning,131.00
1/2/2018,171386437657,Returning,39.80
1/2/2018,5403397452,Returning,189.91
1/2/2018,209899651097,Returning,140.60
1/2/2018,76837683225,Returning,116.33
1/2/2018,6083783116,Returning,40.53
1/2/2018,129447460889,Returning,25.40
1/2/2018,5282795212,Returning,204.64
1/2/2018,201777283097,Returning,71.40
1/2/2018,168503148569,Returning,37.60
1/2/2018,6648942924,Returning,54.00
1/2/2018,5611563852,Returning,26.20
1/2/2018,173131857945,First-time,56.82
1/2/2018,192200802329,Returning,60.23
1/2/2018,265442164761,First-time,49.31
1/2/2018,5982163404,Returning,140.13
1/2/2018,91315109913,Returning,38.40
1/2/2018,265294446617,First-time,66.20
1/2/2018,6334115788,Returning,79.00
1/2/2018,264148910105,Returning,189.25
1/3/2018,265193324569,First-time,25.70
1/3/2018,266180132889,First-time,49.90
1/3/2018,3457184518,Returning,28.41
1/3/2018,211314507801,Returning,159.51
1/3/2018,167107035161,Returning,111.34
1/3/2018,265601941529,First-time,60.00
1/3/2018,5703487436,Returning,49.25
1/3/2018,152219222041,Returning,404.70
1/3/2018,4684566668,Returning,28.41
1/3/2018,4945432460,Returning,51.10
1/3/2018,6249087500,Returning,188.20
1/3/2018,5135124812,Returning,71.30
1/3/2018,6213482508,Returning,78.22
1/3/2018,231131316249,Returning,27.98
1/3/2018,107189272601,Returning,49.42
1/3/2018,5767393740,Returning,228.63
1/3/2018,266872389657,First-time,28.41
1/3/2018,5786940364,Returning,-29.90
1/3/2018,4146314054,Returning,199.90
1/3/2018,266240294937,First-time,75.62
1/3/2018,5940615564,Returning,132.91
1/3/2018,3505249478,Returning,118.93
1/3/2018,266286039065,Returning,47.00
1/3/2018,6583426252,Returning,52.25
1/3/2018,154990116889,Returning,115.14
1/3/2018,6127707276,Returning,36.10
1/3/2018,47675047961,Returning,26.20
1/3/2018,266554540057,First-time,39.10
1/3/2018,5650993996,Returning,115.14
1/3/2018,266815307801,First-time,28.24
1/3/2018,266759208985,First-time,39.80
1/3/2018,5644568780,Returning,238.30
1/3/2018,134746341401,Returning,80.37
1/3/2018,5988149132,Returning,50.78
1/3/2018,3464097094,Returning,27.15
1/3/2018,4129443078,Returning,242.70
1/3/2018,6414895756,Returning,145.44
1/3/2018,6538877068,Returning,115.03
1/3/2018,266672308249,First-time,49.90
1/3/2018,217802965017,Returning,40.56
1/3/2018,5978082188,Returning,42.80
1/3/2018,5505808844,Returning,203.99
1/3/2018,6491274828,Returning,245.10
1/3/2018,6044797644,Returning,28.41
1/3/2018,6508975820,Returning,50.47
1/3/2018,129320943641,Returning,37.85
1/3/2018,82617565209,Returning,75.05
1/3/2018,5724559628,Returning,102.89
1/3/2018,193240432665,Returning,177.46
1/3/2018,4509554182,Returning,168.94
1/3/2018,85168914457,Returning,75.70
1/3/2018,165912576025,Returning,131.00
1/3/2018,5003553996,Returning,94.30
1/3/2018,6566082892,Returning,75.00
1/3/2018,266847027225,First-time,48.90
1/3/2018,6232735436,Returning,36.97
1/3/2018,4004154310,Returning,227.21
1/3/2018,5231732748,Returning,115.14
1/3/2018,266378903577,First-time,75.05
1/3/2018,6604955724,Returning,28.41
1/3/2018,6687290700,Returning,27.60
1/3/2018,6500949388,Returning,60.37
1/3/2018,266581245977,First-time,39.80
1/3/2018,258146336793,Returning,113.62
1/3/2018,167273037849,Returning,39.80
1/3/2018,222111105049,Returning,32.61
1/3/2018,30828199961,Returning,85.50
1/3/2018,4981832012,Returning,36.00
1/4/2018,267083317273,First-time,86.93
1/4/2018,6021915596,Returning,62.70
1/4/2018,14092697625,Returning,113.50
1/4/2018,251479883801,Returning,-1.30
1/4/2018,201141616665,Returning,94.60
1/4/2018,4048758470,Returning,98.90
1/4/2018,5971241548,Returning,115.50
1/4/2018,4888732300,Returning,283.70
1/4/2018,268159418393,First-time,99.80
1/4/2018,268213714969,First-time,42.65
1/4/2018,268097060889,First-time,38.10
1/4/2018,154823229465,Returning,42.80
1/4/2018,175516123161,Returning,59.06
1/4/2018,267991875609,First-time,127.00
1/4/2018,5081874572,Returning,46.28
1/4/2018,162792833049,Returning,76.05
1/4/2018,28637167641,Returning,44.00
1/4/2018,267984764953,First-time,94.50
1/4/2018,6163158092,Returning,199.90
1/4/2018,29795319833,Returning,100.37
1/4/2018,98126757913,Returning,230.40
1/4/2018,113730322457,Returning,69.90
1/4/2018,6347404620,Returning,72.20
1/4/2018,6505197516,Returning,121.20
1/4/2018,4109704518,Returning,68.30
1/4/2018,268025298969,Returning,160.95
1/4/2018,267734777881,First-time,51.96
1/4/2018,5352483788,Returning,70.00
1/4/2018,268040568857,First-time,0.00
1/4/2018,4155070598,Returning,76.28
1/4/2018,267154292761,First-time,55.41
1/4/2018,33431060505,Returning,48.00
1/4/2018,256831979545,Returning,78.30
1/4/2018,5296547596,Returning,31.07
1/4/2018,4608203270,Returning,54.90
1/4/2018,255773147161,Returning,-31.25
1/4/2018,6300100236,Returning,94.50
1/4/2018,268018679833,First-time,103.46
1/4/2018,6123166284,Returning,107.70
1/4/2018,268059344921,First-time,69.50
1/4/2018,266900766745,First-time,138.61
1/4/2018,6227664460,Returning,26.62
1/4/2018,6161272844,Returning,224.50
1/4/2018,268025298969,First-time,160.95
1/4/2018,6558001356,Returning,38.40
1/4/2018,3495286854,Returning,33.40
1/4/2018,103502020633,Returning,90.63
1/4/2018,199532806169,Returning,28.00
1/4/2018,109737345049,Returning,29.70
1/4/2018,116450689049,Returning,139.35
1/4/2018,2653738822,Returning,49.90
1/4/2018,4036821126,Returning,84.80
1/4/2018,4050943174,Returning,-5.70
1/4/2018,42396844057,Returning,0.00
1/4/2018,148195278873,Returning,28.20
1/4/2018,100437491737,Returning,28.22
1/4/2018,6344382092,Returning,135.12
1/4/2018,151220060185,Returning,132.60
1/4/2018,134452838425,Returning,145.40
1/4/2018,6505468300,Returning,-22.50
1/4/2018,125182935065,Returning,26.30
1/4/2018,267758239769,First-time,25.18
1/4/2018,6174044300,Returning,154.85
1/4/2018,4026153606,Returning,189.91
1/4/2018,145649532953,Returning,85.60
1/5/2018,4636006086,Returning,100.60
1/5/2018,5935171532,Returning,-16.80
1/5/2018,5814602380,Returning,282.82
1/5/2018,103502020633,Returning,76.10
1/5/2018,5498045388,Returning,28.10
1/5/2018,90067632153,Returning,34.55
1/5/2018,152166367257,Returning,99.90
1/5/2018,5418975372,Returning,81.06
1/5/2018,268964397081,First-time,107.52
1/5/2018,6547958796,Returning,-49.50
1/5/2018,185139724313,Returning,59.80
1/5/2018,6396928332,Returning,44.91
1/5/2018,269478232089,First-time,51.90
1/5/2018,268866420761,First-time,59.70
1/5/2018,6468780876,Returning,147.15
1/5/2018,4050943174,Returning,80.71
1/5/2018,5446168908,Returning,32.00
1/5/2018,156015951897,Returning,38.10
1/5/2018,269602422809,First-time,29.07
1/5/2018,164615225369,First-time,63.82
1/5/2018,5740482892,Returning,45.68
1/5/2018,268265881625,First-time,62.40
1/5/2018,6304494348,Returning,72.69
1/5/2018,130785411097,Returning,115.14
1/5/2018,199532806169,Returning,32.00
1/5/2018,3360288518,Returning,27.20
1/5/2018,6222405388,Returning,46.81
1/5/2018,15027306521,Returning,38.40
1/5/2018,269235191833,First-time,54.50
1/5/2018,6645801996,Returning,97.19
1/5/2018,168039448601,Returning,66.45
1/5/2018,159215779865,Returning,208.40
1/5/2018,269266878489,First-time,29.90
1/5/2018,269219561497,First-time,45.32
1/5/2018,6412161804,Returning,105.76
1/5/2018,106230317081,Returning,43.90
1/5/2018,86577119257,Returning,52.40
1/5/2018,5439119116,Returning,0.00
1/5/2018,94347886617,Returning,74.90
1/5/2018,248878268441,Returning,26.40
1/5/2018,133764481049,Returning,134.90
1/5/2018,145926291481,Returning,63.40
1/5/2018,269060145177,First-time,121.20
1/5/2018,3894093830,Returning,95.85
1/5/2018,4783678092,Returning,71.25
1/5/2018,4301750854,Returning,30.70
1/6/2018,270588313625,First-time,49.67
1/6/2018,225126678553,First-time,52.85
1/6/2018,159179440153,Returning,83.00
1/6/2018,6137597708,Returning,42.80
1/6/2018,5093776524,Returning,76.00
1/6/2018,5075376012,Returning,27.80
1/6/2018,159269093401,Returning,47.50
1/6/2018,270827847705,First-time,46.15
1/6/2018,149725085721,Returning,168.50
1/6/2018,271090024473,First-time,129.58
1/6/2018,4750324492,Returning,129.30
1/6/2018,270520418329,First-time,79.00
1/6/2018,222917459993,Returning,54.21
1/6/2018,132247126041,Returning,58.62
1/6/2018,4301750854,Returning,27.19
1/6/2018,8957231129,Returning,48.70
1/6/2018,5982276428,Returning,373.60
1/6/2018,126699700249,Returning,42.00
1/6/2018,270733082649,First-time,143.74
1/6/2018,6197601868,Returning,349.30
1/6/2018,6231276364,Returning,111.20
1/6/2018,192886407193,Returning,30.02
1/6/2018,128290553881,Returning,58.80
1/6/2018,5320345740,Returning,30.93
1/6/2018,270922809369,First-time,136.75
1/6/2018,6615901900,Returning,198.90
1/6/2018,71571701785,Returning,79.60
1/6/2018,178400165913,Returning,26.17
1/6/2018,129640235033,Returning,60.70
1/6/2018,270882603033,First-time,36.44
1/6/2018,4061248006,Returning,59.00
1/6/2018,199322632217,Returning,31.60
1/6/2018,243196657689,Returning,45.76
1/6/2018,4051683782,Returning,399.80
1/6/2018,247129309209,Returning,122.30
1/6/2018,270536015897,Returning,144.90
1/6/2018,183562338329,Returning,26.30
1/6/2018,4527801542,Returning,25.52
1/6/2018,4797097420,Returning,27.83
1/6/2018,5927218764,Returning,91.70
1/6/2018,265332326425,Returning,29.90
1/6/2018,271036416025,Returning,96.94
1/6/2018,260005593113,First-time,75.98
1/6/2018,270786789401,First-time,76.00
1/6/2018,3860598214,Returning,29.30
1/6/2018,3422128326,Returning,25.65
1/6/2018,210888753177,Returning,99.00
1/6/2018,118813327385,Returning,55.66
1/6/2018,6570804172,Returning,78.23
1/6/2018,270757396505,First-time,57.95
1/6/2018,5568685388,Returning,135.90
1/6/2018,5306300108,Returning,357.66
1/6/2018,270577696793,First-time,0.00
1/6/2018,271021375513,First-time,175.50
1/6/2018,174260650009,Returning,134.90
1/7/2018,5892212748,Returning,118.00
1/7/2018,81755668505,Returning,199.00
1/7/2018,4507624326,Returning,93.60
1/7/2018,272536535065,First-time,43.70
1/7/2018,272132538393,First-time,36.00
1/7/2018,270786789401,Returning,34.00
1/7/2018,139391172633,Returning,231.83
1/7/2018,141704822809,Returning,36.99
1/7/2018,272179691545,First-time,25.68
1/7/2018,271993503769,First-time,27.98
1/7/2018,231055884313,Returning,71.90
1/7/2018,5324686540,Returning,72.00
1/7/2018,270648836121,First-time,28.41
1/7/2018,272178806809,First-time,199.69
1/7/2018,3859097734,Returning,26.35
1/7/2018,12722012185,Returning,121.30
1/7/2018,5460754380,Returning,129.00
1/7/2018,6294070860,Returning,165.20
1/7/2018,271076589593,First-time,46.17
1/7/2018,115218448409,Returning,175.92
1/7/2018,6120023372,Returning,95.30
1/7/2018,272363126809,First-time,452.10
1/7/2018,272109371417,First-time,34.00
1/7/2018,109612040217,Returning,134.90
1/7/2018,272315842585,First-time,42.80
1/7/2018,5505475980,Returning,175.65
1/7/2018,250340376601,Returning,37.62
1/7/2018,245785591833,Returning,66.22
1/7/2018,5401489676,Returning,55.00
1/7/2018,6076763532,Returning,158.13
1/7/2018,77190660121,Returning,95.00
1/7/2018,6252032076,Returning,27.98
1/7/2018,4855022028,Returning,189.91
1/7/2018,272376594457,First-time,126.00
1/7/2018,272256565273,First-time,30.95
1/7/2018,5314031756,Returning,265.80
1/7/2018,272181690393,First-time,57.00
1/7/2018,233399713817,Returning,71.11
1/7/2018,271985803289,Returning,311.90
1/7/2018,6125566540,Returning,43.04
1/7/2018,6287680396,Returning,52.36
1/7/2018,221877272601,First-time,39.30
1/7/2018,5432681804,Returning,182.00
1/7/2018,90511671321,Returning,132.60
1/7/2018,5607831308,Returning,123.50
1/7/2018,42654367769,Returning,44.00
1/7/2018,6693569868,Returning,79.80
1/7/2018,3462051462,Returning,199.90
1/7/2018,154391773209,Returning,66.50
1/7/2018,258531590169,Returning,72.61
1/7/2018,241199939609,Returning,53.80
1/7/2018,114065014809,Returning,106.11
1/7/2018,253559308313,Returning,240.60
1/8/2018,192741539865,Returning,79.50
1/8/2018,201978544153,Returning,60.00
1/8/2018,6238567500,Returning,94.30
1/8/2018,6620139724,Returning,185.70
1/8/2018,269641941017,First-time,41.80
1/8/2018,3480161798,Returning,61.40
1/8/2018,6231276364,Returning,29.90
1/8/2018,202131374105,Returning,38.90
1/8/2018,5505243276,Returning,37.53
1/8/2018,5074267148,Returning,71.13
1/8/2018,6565264460,Returning,25.70
1/8/2018,4781854412,Returning,44.99
1/8/2018,6575931532,Returning,47.40
1/8/2018,273891557401,First-time,35.10
1/8/2018,4412257990,Returning,27.40
1/8/2018,273559846937,First-time,113.43
1/8/2018,190193270809,Returning,75.97
1/8/2018,4073871238,Returning,158.61
1/8/2018,6610144332,Returning,189.90
1/8/2018,241420206105,Returning,95.40
1/8/2018,5575777612,Returning,44.00
1/8/2018,5499697036,Returning,61.91
1/8/2018,113868079129,Returning,71.00
1/8/2018,5997192204,Returning,25.00
1/8/2018,273390927897,First-time,40.19
1/8/2018,129342210073,Returning,199.41
1/8/2018,6161961804,Returning,121.20
1/8/2018,4838051980,Returning,124.85
1/8/2018,190537465881,Returning,79.00
1/8/2018,273768579097,First-time,126.00
1/8/2018,4371409094,Returning,82.80
1/8/2018,273626464281,First-time,139.46
1/8/2018,47902457881,Returning,31.00
1/8/2018,6256233868,Returning,42.80
1/9/2018,229095014425,Returning,207.60
1/9/2018,6300100236,Returning,10.30
1/9/2018,275094700057,First-time,52.80
1/9/2018,5708680140,Returning,260.90
1/9/2018,275167641625,First-time,35.60
1/9/2018,190733058073,Returning,87.03
1/9/2018,6570658636,Returning,25.85
1/9/2018,274769149977,First-time,28.22
1/9/2018,274758139929,First-time,181.22
1/9/2018,5887208268,Returning,80.20
1/9/2018,107628298265,Returning,44.90
1/9/2018,275184156697,First-time,119.23
1/9/2018,148598423577,Returning,29.90
1/9/2018,6645358156,Returning,171.48
1/9/2018,220212428825,Returning,59.90
1/9/2018,3530435462,Returning,199.90
1/9/2018,5496356620,Returning,0.00
1/9/2018,267851661337,First-time,183.02
1/9/2018,274448678937,First-time,334.31
1/9/2018,5798820172,Returning,156.90
1/9/2018,120791629849,Returning,107.52
1/9/2018,109737345049,Returning,25.99
1/9/2018,275297435673,First-time,25.60
1/9/2018,5987677004,Returning,27.98
1/9/2018,265347825689,First-time,227.00
1/9/2018,250340376601,Returning,60.14
1/9/2018,5686034380,Returning,199.90
1/9/2018,5581032012,Returning,36.36
1/9/2018,6138616012,Returning,28.41
1/9/2018,219862106137,Returning,581.76
1/9/2018,8238071833,Returning,55.00
1/9/2018,6027538700,Returning,26.50
1/9/2018,274756894745,First-time,38.40
1/9/2018,274815418393,First-time,85.60
1/9/2018,5811670796,Returning,47.56
1/9/2018,5439119116,Returning,0.00
1/9/2018,274742968345,First-time,52.73
1/9/2018,63973949465,Returning,126.23
1/9/2018,275210928153,First-time,25.00
1/9/2018,274820136985,First-time,46.28
1/9/2018,275129729049,First-time,134.90
1/9/2018,152219222041,Returning,42.80
1/9/2018,253725376537,Returning,28.17
1/9/2018,196385046553,Returning,50.83
1/10/2018,274649645081,First-time,27.55
1/10/2018,273888116761,First-time,115.14
1/10/2018,275836731417,First-time,0.00
1/10/2018,276173651993,First-time,27.96
1/10/2018,4835870540,Returning,26.32
1/10/2018,6250457804,Returning,29.90
1/10/2018,67085762585,Returning,36.00
1/10/2018,276479967257,First-time,34.20
1/10/2018,275442303001,First-time,29.90
1/10/2018,138860199961,Returning,115.05
1/10/2018,82487115801,Returning,47.60
1/10/2018,6391643724,Returning,49.12
1/10/2018,160549896217,Returning,49.90
1/10/2018,6648942924,Returning,35.88
1/10/2018,103711375385,Returning,51.00
1/10/2018,3874973382,Returning,115.52
1/10/2018,6439183052,Returning,113.60
1/10/2018,242372739097,Returning,87.00
1/10/2018,103414661145,Returning,44.00
1/10/2018,4922056844,Returning,219.04
1/10/2018,6412161804,Returning,-22.40
1/10/2018,276267106329,First-time,51.10
1/10/2018,161648082969,Returning,49.93
1/10/2018,6124654220,Returning,182.10
1/10/2018,276170375193,First-time,72.00
1/10/2018,6495559500,Returning,41.20
1/10/2018,5370770956,Returning,76.45
1/10/2018,276397654041,First-time,83.00
1/10/2018,6232070028,Returning,194.90
1/10/2018,145639145497,Returning,113.00
1/10/2018,6338286924,Returning,140.60
1/10/2018,276253179929,First-time,37.80
1/10/2018,6161272844,Returning,43.96
1/10/2018,5488906956,Returning,120.68
1/10/2018,276447363097,First-time,132.60
1/10/2018,183546871833,Returning,139.30
1/10/2018,5585981708,Returning,90.00
1/10/2018,3982341702,Returning,46.82
1/10/2018,251411857433,Returning,30.00
1/10/2018,6486404172,Returning,29.80
1/10/2018,199457505305,Returning,174.80
1/10/2018,222111105049,Returning,28.58
1/10/2018,26905542681,Returning,59.80
1/10/2018,8957231129,Returning,49.12
1/10/2018,82359943193,Returning,61.62
1/10/2018,230694027289,Returning,29.00
1/11/2018,47675047961,Returning,29.64
1/11/2018,5986359052,Returning,49.00
1/11/2018,277418147865,First-time,0.00
1/11/2018,5496629900,Returning,0.00
1/11/2018,265446490137,First-time,42.69
1/11/2018,6396453260,Returning,83.52
1/11/2018,5496356620,Returning,189.90
1/11/2018,277169831961,First-time,138.00
1/11/2018,6469708364,Returning,47.00
1/11/2018,147149029401,Returning,88.00
1/11/2018,4895195148,Returning,80.37
1/11/2018,6595225036,Returning,180.24
1/11/2018,2535830598,Returning,34.40
1/11/2018,178300551193,First-time,85.22
1/11/2018,74500046873,Returning,279.68
1/11/2018,6161965260,Returning,136.80
1/11/2018,277740126233,First-time,39.80
1/11/2018,6110720396,Returning,25.50
1/11/2018,277445738521,First-time,28.75
1/11/2018,4835521804,Returning,29.90
1/11/2018,202717069337,Returning,44.50
1/11/2018,141921910809,Returning,25.00
1/11/2018,206517698585,Returning,59.40
1/11/2018,250176307225,Returning,113.68
1/11/2018,277838037017,First-time,64.79
1/11/2018,6479677772,Returning,27.06
1/11/2018,201956229145,Returning,169.23
1/11/2018,277739700249,First-time,189.91
1/11/2018,5228893900,Returning,68.74
1/11/2018,175602335769,Returning,95.40
1/11/2018,277963931673,First-time,25.42
1/11/2018,237621903385,Returning,55.65
1/11/2018,185285115929,Returning,54.64
1/11/2018,5652170124,Returning,82.00
1/11/2018,277449310233,First-time,0.00
1/11/2018,6265409036,Returning,124.20
1/11/2018,277715222553,Returning,227.05
1/11/2018,277639036953,First-time,189.91
1/11/2018,5320345740,Returning,27.55
1/11/2018,65798701081,Returning,108.00
1/11/2018,188112928793,Returning,40.45
1/11/2018,178878709785,Returning,67.50
1/11/2018,154878705689,Returning,57.65
1/11/2018,6228265292,Returning,157.70
1/11/2018,277858025497,First-time,103.92
1/11/2018,277628387353,First-time,30.80
1/11/2018,225214955545,Returning,32.59
1/11/2018,113783046169,Returning,86.79
1/11/2018,4391751110,Returning,85.00
1/11/2018,5569301388,Returning,227.55
1/11/2018,277555740697,First-time,140.20
1/12/2018,278647504921,First-time,60.60
1/12/2018,155756134425,Returning,29.30
1/12/2018,278910140441,First-time,106.50
1/12/2018,202292854809,Returning,56.94
1/12/2018,5740482892,Returning,-5.70
1/12/2018,241527291929,Returning,34.50
1/12/2018,170023125017,Returning,40.24
1/12/2018,223292162073,Returning,31.04
1/12/2018,4198260678,Returning,48.69
1/12/2018,129162772505,Returning,44.90
1/12/2018,5786940364,Returning,29.90
1/12/2018,184805785625,Returning,275.88
1/12/2018,154567475225,Returning,38.50
1/12/2018,6644801740,Returning,47.42
1/12/2018,186680082457,Returning,195.32
1/12/2018,78318272537,Returning,60.00
1/12/2018,146945212441,Returning,140.30
1/12/2018,5873940300,Returning,202.00
1/12/2018,233313959961,Returning,36.21
1/12/2018,279227629593,First-time,45.98
1/12/2018,265415360537,Returning,119.70
1/12/2018,217802965017,Returning,59.70
1/12/2018,29396959257,Returning,140.59
1/12/2018,276820688921,First-time,28.41
1/12/2018,186222116889,Returning,99.60
1/12/2018,277478146073,First-time,45.84
1/12/2018,4988458060,Returning,75.05
1/12/2018,243513950233,Returning,71.25
1/12/2018,279090790425,First-time,145.44
1/12/2018,5498139596,First-time,26.22
1/12/2018,277759819801,First-time,44.42
1/12/2018,180719714329,Returning,105.00
1/12/2018,75817517081,Returning,74.90
1/12/2018,208047800345,Returning,46.36
1/12/2018,6343317260,Returning,199.90
1/12/2018,279075782681,First-time,43.80
1/13/2018,5054838092,Returning,28.00
1/13/2018,180548993049,Returning,77.06
1/13/2018,74500046873,Returning,115.52
1/13/2018,27916206105,Returning,224.87
1/13/2018,280236064793,First-time,31.50
1/13/2018,5833729292,First-time,30.40
1/13/2018,6403787276,Returning,37.18
1/13/2018,6152712076,Returning,67.10
1/13/2018,96090292249,Returning,29.50
1/13/2018,251744682009,Returning,36.90
1/13/2018,109186646041,Returning,85.84
1/13/2018,250340376601,Returning,47.41
1/13/2018,5062768716,Returning,250.00
1/13/2018,280313954329,First-time,121.20
1/13/2018,138699964441,Returning,31.90
1/13/2018,280363532313,First-time,57.60
1/13/2018,125248307225,Returning,37.81
1/13/2018,280097685529,First-time,121.20
1/13/2018,279927029785,First-time,0.00
1/13/2018,279914086425,First-time,105.10
1/13/2018,230973014041,Returning,28.00
1/13/2018,205668352025,Returning,60.00
1/13/2018,72663531545,Returning,77.90
1/13/2018,41839755289,Returning,25.60
1/13/2018,3376058054,Returning,181.72
1/13/2018,268120588313,First-time,40.66
1/13/2018,5363057804,Returning,168.82
1/13/2018,5591327884,Returning,40.60
1/13/2018,3523411910,Returning,45.60
1/13/2018,6231713676,Returning,47.42
1/13/2018,185469206553,Returning,109.40
1/13/2018,270922809369,Returning,69.26
1/13/2018,213551317017,Returning,29.90
1/14/2018,281731596313,First-time,40.24
1/14/2018,281494487065,First-time,28.23
1/14/2018,6630261772,Returning,94.84
1/14/2018,281588760601,First-time,165.20
1/14/2018,166200147993,Returning,74.90
1/14/2018,5320345740,Returning,25.00
1/14/2018,137645228057,Returning,72.00
1/14/2018,258745171993,First-time,73.62
1/14/2018,3728246918,Returning,134.90
1/14/2018,281794019353,First-time,27.00
1/14/2018,4341970374,Returning,165.40
1/14/2018,281524600857,First-time,86.17
1/14/2018,140408094745,Returning,67.55
1/14/2018,174234501145,Returning,136.40
1/14/2018,166141460505,Returning,39.80
1/14/2018,29396959257,Returning,35.50
1/14/2018,6693596044,Returning,25.30
1/14/2018,5496356620,Returning,0.00
1/14/2018,3816003782,Returning,54.00
1/14/2018,243134857241,Returning,44.28
1/14/2018,281543409689,First-time,46.41
1/14/2018,217763479577,Returning,40.95
1/14/2018,152929697817,Returning,56.62
1/14/2018,188668674073,Returning,39.30
1/14/2018,224990003225,First-time,40.67
1/14/2018,4611687238,Returning,129.00
1/14/2018,3157696198,Returning,200.62
1/14/2018,281454673945,First-time,29.95
1/14/2018,281690144793,First-time,121.20
1/14/2018,5783938764,Returning,30.00
1/14/2018,3496989958,Returning,25.98
1/14/2018,6499022796,Returning,43.24
1/14/2018,3346527174,Returning,197.92
1/14/2018,281533382681,First-time,86.80
1/14/2018,162469576729,Returning,90.75
1/14/2018,6561049228,Returning,61.40
1/14/2018,281611042841,First-time,26.60
1/14/2018,6503960652,Returning,108.80
1/14/2018,6364634188,Returning,269.80
1/14/2018,6524743884,Returning,106.50
1/14/2018,281439371289,First-time,77.02
1/14/2018,275442303001,Returning,63.63
1/14/2018,4849435340,Returning,27.98
